p_vals,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
1.0e-7,0.08246233612173537,0.0985641797186438,0.3400004082160105,0.614261983674462,0.6765580496997428,0.7504624037165141,0.8009256840390366,0.8492896245923659,0.8736782712262413,0.8901312784019813,0.8974935154258482,0.9036142240620476,0.9099010568027799,0.9156826823095491,0.9205329831280363,0.9271247317793986,0.9346576194751643,0.9403251897470741,0.9487613435283545,0.9529713370304006,0.9585338764328354,0.9613959917857666,0.9648945157309583,0.9679792942390406,0.9713742814762405,0.9736781054427721,0.9761910441108985,0.9774567467901508,0.9798841323883869,0.981913265379637,0.9840297839942499,0.985796654901689,0.987335680292086,0.9885763488869601,0.9901661575408968,0.9912583969997069,0.9916785355971927,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.2589254117941662e-7,0.08360748245804973,0.09925813571594637,0.34351656856986174,0.6160160944429995,0.6786676302482308,0.7521418925725016,0.8024030714565868,0.8501811641279322,0.8745222474958925,0.891044774077089,0.8983750689851446,0.9042931995295508,0.9108078348757579,0.9177167895796805,0.9258790470308247,0.9351362398428965,0.9405861984727869,0.9492772067818471,0.9529378924698163,0.9590919253960153,0.9614204537545125,0.9652279537515868,0.9678782653786949,0.9718215618929348,0.9736280926652447,0.9764131085811598,0.9776438041076007,0.9808679447104488,0.9834259453936808,0.9858681355828943,0.9874374209328002,0.9884100211726197,0.9893861353339105,0.9903210880134569,0.9913879530426054,0.9916943694584961,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.584893192461114e-7,0.08478488173936394,0.10614956873151642,0.23848055275012864,0.5006771855330049,0.6149489225208361,0.6847202557297389,0.7521687941570401,0.8057801845102308,0.8504880380743386,0.8761495609206829,0.8935749048018468,0.9039270562728313,0.9115513784278665,0.9170280811500439,0.9215189144090683,0.9283401202949203,0.9337169627969529,0.9382516057789739,0.9426905659858071,0.9493277672129264,0.9537124817266572,0.9592037747702185,0.9621457360898452,0.9650054765351986,0.9697971592999617,0.973016168488766,0.9763950658135109,0.977910830475453,0.9809351836600875,0.9835196486690639,0.9860320843019013,0.987453981247408,0.9887545668405116,0.990252407179279,0.9913903629333402,0.9917563879424992,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.9952623149688787e-7,0.08599591602591818,0.09972600560703314,0.3594051649748556,0.6188926094887208,0.6896136816644429,0.7519688448514845,0.8258223435674347,0.8700842459432441,0.9014458338255339,0.91215894817536,0.9198040119143827,0.9272894284656888,0.9357814353215039,0.9425081570062949,0.9492713386046079,0.9545981406698648,0.9617156226389,0.9685845764813877,0.9751720040806438,0.980261719955534,0.9843324141743025,0.9871721341811127,0.9888108973015662,0.9903428969924168,0.9914333979159802,0.9918335744954698,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.5118864315095823e-7,0.08724204748387338,0.09096671457888406,0.3788070391288934,0.6163073914809667,0.7141018677920526,0.810797312576516,0.8728677301687308,0.9046154675197461,0.9216051665421899,0.9361847032072836,0.9475865042817969,0.9552620391717971,0.9620757728472688,0.9688747387178995,0.9753982901244022,0.9821073307596765,0.9868907561888125,0.9900610470571983,0.9914522738378292,0.991942668721713,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3.162277660168379e-7,0.0885248242741152,0.10036158660918688,0.2639596812140329,0.5098708591575268,0.6188659608901985,0.7164601740251247,0.7955061602871253,0.8535701472796834,0.8853765208823339,0.9033093322215691,0.913821654177396,0.9215629906658982,0.9290194861588251,0.939235610642187,0.9480268068795182,0.9556829562841729,0.960966125600616,0.9653331466840259,0.9702832738350519,0.9755639302460405,0.9806623986881701,0.984667698206621,0.987799837380772,0.989816018178191,0.9911951777558846,0.9917808320430538,0.9920066897012627,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3.981071705534969e-7,0.08984588696820475,0.12185298795856656,0.2553046194120218,0.5456279386609809,0.6951076609624464,0.7977175743393755,0.855202403354257,0.8826919508813846,0.8976995805846153,0.9087952262979424,0.9131461212242314,0.9186617820071177,0.9255244844528948,0.9375412105416048,0.9509511470751452,0.9587775402143723,0.9637381041667096,0.9665635350497415,0.9704732978542282,0.9757835478632768,0.9808474635941896,0.984183919619733,0.9865119772462222,0.9882628392604303,0.9899586208314288,0.9912160450239783,0.9918656354905923,0.9920527540566619,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5.011872336272725e-7,0.091206975547339,0.12415627412431791,0.26054083056820826,0.5481112753793062,0.6794344355460534,0.7606769810400864,0.8172280776298333,0.8564991607475645,0.8840254388517146,0.898788053931118,0.9096999267373207,0.9143719322965679,0.9197440161932019,0.9235089356916673,0.9307277040234132,0.9403564073727376,0.9491613433739368,0.9565831075654534,0.9608194104636235,0.9640206464772477,0.9652963910151143,0.9672982819487616,0.9707971350630208,0.9759670009977263,0.9810760038229279,0.9839094519537778,0.9858793206577812,0.9868193713738932,0.9883588686775521,0.9898227917643754,0.9907577062624616,0.9915588729839415,0.9918658327333597,0.992121793588268,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.30957344480193e-7,0.09260993704704816,0.12563187152507296,0.2644565905944807,0.5521133341831633,0.7009631658415173,0.8020094135016369,0.8585319797685411,0.8853256078470814,0.9000968295344427,0.9104349937443074,0.9157000452109099,0.9202279331940992,0.9272028048127887,0.9390399612893829,0.9495354878663793,0.9570176233504603,0.9612490906527604,0.9639025369507556,0.9651499373048996,0.9657897358872948,0.9675568062024891,0.971079947474682,0.9762347192382238,0.9811625841226549,0.9841073961002033,0.9859617781335577,0.9869213787547473,0.9884653667691131,0.9899021259554732,0.9908243622154816,0.9915965728784278,0.9919420128101563,0.9921575957680365,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7.943282347242821e-7,0.0940567339181825,0.12635580814639902,0.268962580128588,0.5541052835043622,0.6855332747034447,0.7654635940252791,0.813071289372961,0.8408088179222911,0.8631808925121097,0.8786359549232705,0.8911712349050233,0.9011217108067908,0.9100515499093553,0.9147999206420231,0.9172641879659138,0.9197221710164564,0.9215523964079465,0.9280681751277934,0.9373041491578324,0.9459758492580917,0.9509591774134989,0.9544996193481919,0.9577204016377036,0.9594736776905954,0.9624958835090924,0.9635852919456944,0.9651451532473491,0.9659228881076537,0.9677423404420675,0.9715022026551767,0.9748880410711737,0.9776755490741356,0.9792576963707965,0.9820724225227334,0.9842064261158299,0.9860773679866108,0.987022900747238,0.9885589148316685,0.9899676473510314,0.9909006650499372,0.9916386959777135,0.9920059912356599,0.9922076069908605,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
